Iteration_Identifier,time,HSFA1,HSPR,C_HSFA1_HSPR,MMP,FMP,C_HSPR_MMP,HSFA2,HSFB
Iteration 0,2.2449947093122544,0,20,57,0,91,32,1,1
Iteration 0,2.295597673023776,1,21,56,0,91,32,1,1
Iteration 0,2.316414613613784,0,20,57,0,91,32,1,1
Iteration 0,2.3860388417805445,0,21,57,0,92,31,1,1
Iteration 0,2.424580914107466,1,22,56,0,92,31,1,1
Iteration 0,2.4270326221168195,0,21,57,0,92,31,1,1
Iteration 0,2.434957972473942,1,22,56,0,92,31,1,1
Iteration 0,2.439524456342357,0,21,57,0,92,31,1,1
Iteration 0,2.4534656748625405,0,22,57,0,92,31,1,1
Iteration 0,2.7190615834579974,0,22,57,0,93,31,1,1
Iteration 0,2.763810413053225,0,23,57,0,93,31,1,1
Iteration 0,2.7746862340783496,1,23,57,0,93,31,1,1
Iteration 0,2.790688739901878,0,22,58,0,93,31,1,1
Iteration 0,2.833261690211409,0,22,58,0,94,31,1,1
Iteration 0,2.8869633938163264,0,23,58,0,95,30,1,1
Iteration 0,2.933702756295458,0,23,58,0,96,30,1,1
Iteration 0,2.988736794344827,0,24,58,0,96,30,1,1
Iteration 0,3.0210769824217585,0,25,58,0,96,30,1,1
Iteration 0,3.070141295718697,0,25,58,0,97,30,1,1
Iteration 0,3.283937653210762,0,25,58,0,98,30,1,1
Iteration 0,3.2880791124023987,0,25,58,0,99,30,1,1
Iteration 0,3.3145421901484875,1,26,57,0,99,30,1,1
Iteration 0,3.3163109759052714,1,27,57,0,99,30,1,1
Iteration 0,3.3176342795826743,0,26,58,0,99,30,1,1
Iteration 0,3.3191599609960947,0,26,58,0,100,30,1,1
Iteration 0,3.379725413456841,0,26,58,0,101,30,1,1
Iteration 0,3.3907827057646585,0,26,58,0,102,30,1,1
Iteration 0,3.4078060081285533,1,27,57,0,102,30,1,1
Iteration 0,3.408529141318954,0,26,58,0,102,30,1,1
Iteration 0,3.424323059919815,0,27,58,0,103,29,1,1
Iteration 0,3.432235411220848,0,28,58,0,104,28,1,1
Iteration 0,3.465611365983169,0,28,57,0,104,28,1,1
Iteration 0,3.483291739461526,0,29,57,0,105,27,1,1
Iteration 0,3.4868779898318,1,30,56,0,105,27,1,1
Iteration 0,3.488897053429371,0,29,57,0,105,27,1,1
Iteration 0,3.5327902663331687,0,29,57,0,106,27,1,1
Iteration 0,3.5707464632845856,1,29,57,0,106,27,1,1
Iteration 0,3.5730566032321907,2,30,56,0,106,27,1,1
Iteration 0,3.574649175222342,1,29,57,0,106,27,1,1
Iteration 0,3.5751429684517095,0,28,58,0,106,27,1,1
Iteration 0,3.5899181645537137,1,29,57,0,106,27,1,1
Iteration 0,3.590904293045201,0,28,58,0,106,27,1,1
Iteration 0,3.65760194899394,0,28,58,0,107,27,1,1
Iteration 0,3.6633674438506714,1,29,57,0,107,27,1,1
Iteration 0,3.664457738803773,0,28,58,0,107,27,1,1
Iteration 0,3.6947571031574498,0,29,58,1,107,26,1,1
Iteration 0,3.7562215499471767,1,30,57,1,107,26,1,1
Iteration 0,3.7571256224700695,0,29,58,1,107,26,1,1
Iteration 0,3.822896558616825,0,28,58,0,107,27,1,1
Iteration 0,3.8385671966873702,0,28,58,0,108,27,1,1
Iteration 0,3.8392739970908294,1,28,58,0,108,27,1,1
Iteration 0,3.842489148248502,0,27,59,0,108,27,1,1
Iteration 0,3.881215525801141,0,27,59,0,109,27,1,1
Iteration 0,3.883006421308232,0,27,59,0,110,27,1,1
Iteration 0,3.9137546995350547,0,27,59,0,111,27,1,1
Iteration 0,3.918542171879338,0,27,59,0,112,27,1,1
Iteration 0,3.9377177157494256,1,28,58,0,112,27,1,1
Iteration 0,3.938061737491269,0,27,59,0,112,27,1,1
Iteration 0,3.9458748175924487,0,27,59,0,113,27,1,1
Iteration 0,3.9538122567401244,1,28,58,0,113,27,1,1
Iteration 0,3.955185863660741,1,29,58,0,113,27,1,1
Iteration 0,3.955401991074757,0,28,59,0,113,27,1,1
Iteration 0,3.9560295775085583,1,29,58,0,113,27,1,1
Iteration 0,3.9572295973242255,0,28,59,0,113,27,1,1
Iteration 0,4.049974472022825,0,29,59,0,114,26,1,1
Iteration 0,4.096676324655544,0,28,59,0,114,26,1,1
Iteration 0,4.10368307008431,0,29,59,0,114,26,1,1
Iteration 0,4.157647437089321,1,30,58,0,114,26,1,1
Iteration 0,4.157728901155506,0,29,59,0,114,26,1,1
Iteration 0,4.218933511464079,1,30,58,0,114,26,1,1
Iteration 0,4.22116230298623,0,29,59,0,114,26,1,1
Iteration 0,4.357369360311866,0,30,59,0,115,25,1,1
Iteration 0,4.373191542681019,0,31,59,0,115,25,1,1
Iteration 0,4.4652219024486115,0,32,59,0,116,24,1,1
Iteration 0,4.471888073974557,0,32,59,0,117,24,1,1
Iteration 0,4.477227061575233,1,33,58,0,117,24,1,1
Iteration 0,4.478077436807448,0,32,59,0,117,24,1,1
Iteration 0,4.492211982698616,0,33,59,0,118,23,1,1
Iteration 0,4.5138825025258145,1,33,59,0,118,23,1,1
Iteration 0,4.515073600656812,0,32,60,0,118,23,1,1
Iteration 0,4.53916586282949,0,32,60,0,119,23,1,1
Iteration 0,4.570187570152963,1,33,59,0,119,23,1,1
Iteration 0,4.573631940056205,0,32,60,0,119,23,1,1
Iteration 0,4.62741777064132,0,32,60,0,118,23,1,1
Iteration 0,4.628402441263857,0,32,60,0,119,23,1,1
Iteration 0,4.67667811972551,0,33,60,0,120,22,1,1
Iteration 0,4.693598863892008,0,33,60,0,121,22,1,1
Iteration 0,4.71441541864899,1,33,60,0,121,22,1,1
Iteration 0,4.718131642454728,1,34,60,0,121,22,1,1
Iteration 0,4.7183168391638795,0,33,61,0,121,22,1,1
Iteration 0,4.735946405562964,0,33,61,0,122,22,1,1
